Time,EcoName,NumActiveSites,AboveGroundBiomass_ACRU,AboveGroundBiomass_BENI,AboveGroundBiomass_CAGL8,AboveGroundBiomass_CATO6,AboveGroundBiomass_FAGR,AboveGroundBiomass_FRAM2,AboveGroundBiomass_FRPE,AboveGroundBiomass_JUNI,AboveGroundBiomass_JUVI,AboveGroundBiomass_LIST,AboveGroundBiomass_LITU,AboveGroundBiomass_NYSY,AboveGroundBiomass_OXAR,AboveGroundBiomass_PIEC,AboveGroundBiomass_PIST,AboveGroundBiomass_PITA,AboveGroundBiomass_PIVI2,AboveGroundBiomass_PLOC,AboveGroundBiomass_PRSE2,AboveGroundBiomass_QUAL,AboveGroundBiomass_QUCO2,AboveGroundBiomass_QUFA,AboveGroundBiomass_QUMO4,AboveGroundBiomass_QUPH,AboveGroundBiomass_QURU,AboveGroundBiomass_QUST,AboveGroundBiomass_QUVE,AboveGroundBiomass_ULAL,AboveGroundBiomass_ULAM,AboveGroundBiomass_PIPA,
50, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
50, ecoregion1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
50, ecoregion2, 37385, 823.8120369132, 9.41546074628862, 47.4337301056573, 60.5186037180687, 29.9435335027417, 32.1296509295172, 80.8187240872007, 18.9722616022469, 21.6696536043868, 1462.0207302394, 1275.83897285007, 42.3372208104855, 12.1893807676876, 287.793259328608, 33.3720208639829, 2116.61455129062, 258.669680353083, 30.6859435602514, 156.003825063528, 1105.54896348803, 141.646729971914, 354.832713655209, 400.295492844724, 166.707984485756, 105.326949311221, 154.7050153805, 40.124996656413, 106.274682359235, 47.9809281797512, 0, 
60, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
60, ecoregion1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
60, ecoregion2, 37385, 932.69123980206, 5.01920556372877, 43.9856359502474, 71.2156747358566, 34.7140029423566, 37.8882974454995, 81.5975391199679, 16.1709241674468, 29.1697204761268, 1697.61867058981, 1438.23592349873, 48.7072087735723, 10.425224020329, 334.977531095359, 33.7805002006152, 2049.1959609469, 230.846810218002, 35.424475056841, 182.264838839107, 1306.72470242076, 170.136685836565, 437.062377959074, 444.290009362044, 187.137648789621, 122.755195934198, 182.734813427845, 47.3395746957336, 132.079122642771, 57.4543266015782, 0, 
70, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
70, ecoregion1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
70, ecoregion2, 37385, 990.003263340912, 1.82083723418483, 39.874762605323, 80.0882974454995, 38.8486023806339, 42.8522402032901, 72.1148321519326, 13.5375150461415, 37.3159555971646, 1891.3384779992, 1565.32250902768, 53.4327939012973, 9.07149926441086, 377.530560385181, 33.9219473050689, 1943.60050822522, 182.138157014846, 39.2370736926575, 201.658900628594, 1485.22495653337, 195.574401497927, 525.419740537649, 476.711943292764, 200.43739467701, 138.34548615755, 203.782747091079, 53.5638090143106, 151.983790290223, 65.7235522268289, 0, 
80, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
80, ecoregion1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
80, ecoregion2, 37385, 987.505710846596, 0.379082519727163, 36.0473451919219, 88.2168516784807, 42.5170790423967, 47.4862645446035, 52.7424368062057, 11.3652266951986, 46.3072087735723, 2052.37707636753, 1670.52178681289, 56.9536445098301, 8.02565199946503, 413.998609067808, 33.9176675137087, 1810.98922027551, 117.925772368597, 42.1416610940217, 216.436859703089, 1660.90849271098, 219.334519192189, 611.086157549819, 501.443386384914, 209.571726628327, 152.265935535643, 220.851945967634, 59.5611876421024, 163.343266015782, 72.8328473986893, 0, 
90, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
90, ecoregion1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
90, ecoregion2, 37385, 928.220115019393, 0.0346663100173867, 32.9529757924301, 95.6621104721145, 45.8844991306674, 51.7399224287816, 33.6784539253711, 9.40708840444028, 55.6310552360572, 2190.84445633275, 1760.17894877625, 59.9863046676475, 7.2900093620436, 447.519780660693, 33.8969640230039, 1661.29126655076, 56.7171592884847, 44.4719807409389, 227.64662297713, 1835.96514644911, 242.50581784138, 696.05732245553, 519.929490437341, 216.675056840979, 165.662431456466, 237.019045071553, 65.5047211448442, 168.725745619901, 79.2724889661629, 0, 
100, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
100, ecoregion1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
100, ecoregion2, 37385, 833.163327537782, 0, 30.4705363113548, 102.404788016584, 49.2868262672195, 55.5063795639963, 25.0962953056039, 7.49458338905978, 65.3540189915742, 2308.53813026615, 1830.48310819848, 62.5517721011101, 6.52339173465294, 477.762792563862, 33.825571753377, 1498.78421826936, 18.7531362846061, 46.4069546609603, 236.325692122509, 2009.51023137622, 264.463849137355, 780.160920155142, 534.458338905978, 219.383603049351, 178.773331550087, 251.611127457536, 70.9881235789755, 170.786545405911, 84.7947572555838, 0, 
